Schema_AT_ID,Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
recWatpESSXG9iymV,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldJbVfA9AgsZZPos,Analysis_DB_Source_Record_ID,singleLineText,,,
rectXlz8Zc6OFmLag,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldFhDKDfRZnq6c1S,Assessment_Bank,multipleRecordLinks,checked,tblnVEL5zmvEnCag5,Assesment_Banks_Deprecate
recroM58d1vMEeeWi,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldY692HZx0omBVXI,Assessment_Bank_AT_ID,multipleLookupValues,,,
recSTY3LtWL5XhIzR,Assessment_Results_School_Item,tbl7AdZbPu8bJqMHo,fldXhkj2fMWFiOIVA,Assessment_ID (from Assessment_Item_Link),multipleLookupValues,,,
recm08Y28y6jGp2uQ,Assessment_Results_School_Item,tbl7AdZbPu8bJqMHo,fld099PRtPZtiGv9s,Assessment_Import_Links,multipleRecordLinks,checked,tbleb8bkQ7cshNwr3,Assessment_Import
recQEderVOray4Q7a,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldKmpiOM9xxM2nNL,Assessment_Item_Link,singleLineText,,,
recKFQdVyBWGqrbGG,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld5FhUxliz3UwUtn,Assessment_Items copy,singleLineText,,,
rec15u7dMxOWudbCF,Assessment_Results_School_Item,tbl7AdZbPu8bJqMHo,fldDNHuIPacYuAVX6,Assessment_Responses_Links,multipleRecordLinks,checked,tbld5u4M9jS7n7R5V,Assessment_Responses
recJbiOLgcdVY4NWr,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldTvO0TCST6PHC3v,Blanks,number,,,
recXzvXhSkdjQaoU7,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld59Ss5NuvkirGs9,Check_Region_Item_Result_Key,formula,,,
recuRtLjfcpZ0cD6D,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldW333uZI1X1TOl5,Check_School_Item_Key,formula,,,
recCWUNv3AgKYgsg5,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldhOFBRGEkMiZOKa,City (from School_Link),multipleLookupValues,,,
recJrfLSaQ4VweNLK,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldh3PcSfiHs17PGF,Domain (from Assessment_Item_Link),multipleLookupValues,,,
recYbzADwFrvxsAkX,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldGIoPkST6fsCmdV,Domain_Tags,multipleSelects,,,
recfNDx3HuJpReUVw,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldrXDJqet3Cp6pZi,Full_Credit_All_Percent,number,,,
rec7cYVWnyW5RLZD0,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldWaIS7DyKB04AHC,Full_Credit_Count,number,,,
rec5OfhyU9MnZrOga,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld2UVeVPFxFGy13W,Full_Credit_Open_Count,number,,,
rec6Z907fA8bdNM9L,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldM6VO3PU8fwT5Dm,Full_Credit_Open_Percent,number,,,
recH4fEi5YQTmSDE4,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldTNtBEn5tMzQr4b,Item_Formula,formula,,,
recgfXVdAO86jzHLv,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld3A36CiVEShzM54,Item_Order,multipleLookupValues,,,
recud0dx9NriL9Z28,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld2sQOtt2DOk0GVC,Item_Responses,number,,,
rec8bQC32HsEoxStf,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldpoFellDQK7c5xI,Item_Type (from Assessment_Item_Link),multipleLookupValues,,,
recc2KQ7S4ZpM9kh0,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldl5mfgE1KPQUqVU,N_Correct,number,,,
rec1xbHrE4Wtxfzti,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldyAgcdZ0cW2Swe4,Network Blank,multipleLookupValues,,,
rec9blPiMtDAvnWaY,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldlIKyE8wiysp52U,Network Full Credit,multipleLookupValues,,,
recYkiENlSByVzqBT,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld5GznbQZP9oPNhJ,Network N,multipleLookupValues,,,
recfOJb67ovk90e00,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldkTOmIwJVKRUKIe,Network Partial Credit,multipleLookupValues,,,
recJHsLbbZNIktaye,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldrX2j7UbZdKI2ww,Partial_Credit_Count,number,,,
recewUhV6e6Uv8KoU,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldlgYNMwXm9O0ELN,Partial_Credit_Percent,number,,,
recQSCmyfVnSwvtDY,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldsYesejt4H3Od7u,Percent_Correct,number,,,
recxT4vIgeswtDQSZ,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldVsyWa5Owj6oTcC,Region_Item_Results_Key,formula,,,
recIKP4kKOLuUGWRN,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldOwtlGK9Lqq5mGK,Region_Item_Results_Key_Txt,singleLineText,,,
reck7HnImRIqrce5A,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldq43n8LKgXfxQ0L,Region_Item_Results_Link,singleLineText,,,
rec95zkSUe3Z0TOy8,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldNMIg2OZum86Rlr,Region_Link,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
recmpphdlNwv0kC7x,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldROD1n1WYdIHjIH,Region_Link (from School_Link),multipleLookupValues,,,
recx6wYOXzcN8w1cf,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld79evlfGDmNHI1z,Region_N,multipleLookupValues,,,
recJT3gFHZ4LBFbGn,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fld8tWXO6AxFqOaIi,Region_Txt,singleLineText,,,
recNEL51sBf6s08dr,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldYLBO6MyO4dSnGD,RegionFull_Credit_All,multipleLookupValues,,,
recGiMr2kq1OTyYYu,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldi6KWHzocKg7fE3,Respondents,number,,,
rec0VsIeB0K9RI8rt,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldFIPLKtQex81359,School_AT_ID (from School_Link),multipleLookupValues,,,
recmAg6hNZqqECNvX,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldB8JyOJcDnACRRu,School_Extract,formula,,,
recL58wHxqa3bWU8j,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldK12j6vFAVXUG12,School_Item_Result_AT_ID,formula,,,
rec9zK0ZUyhgSB4GP,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldc8uR4wqaW6OTJM,School_Item_Result_Key,singleLineText,,,
recPk6zCdJHyXyhUU,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldClVljikF0poIv4,School_Item_Result_Key_Formula,formula,,,
recA0qFnLOt9BJiQk,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldzUTj1OYhQdaanX,School_Link,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
recuqLgkiRungtMRS,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldiFZMgaouOz5zwg,School_Txt,singleLineText,,,
recH3ICalk8sNUcVk,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldItoIB5D5jZH5L9,Standards_Code (from Assessment_Item_Link),multipleLookupValues,,,
recZiTACKekJSyX7a,Assessment_Results_School_Item_Deprecate,tbl7AdZbPu8bJqMHo,fldd6y11heY3K4D7Z,Standards_Tags,multipleSelects,,,
rec5KuOrBMWETJXlS,Assessment_Results_School_Item,tbl7AdZbPu8bJqMHo,fldbHZKuZJ1gUM0kF,Student_Response_ID_TXT (from Assessment_Responses_Links),multipleLookupValues,,,
recatteR17RZtyir2,Survey_Items,tbl9lguOzNO8VjMvY,fldooWw0j33hzHz87,Administration_Key (from Survey_Results_School_Item_Links),multilineText,,,
recOpqIezFiruVXhb,Survey_Items,tbl9lguOzNO8VjMvY,fldUIehfSKIrmN2fM,Administration_Key (from Survey_Results_School_Item_Links) copy,multilineText,,,
recbjFqFzL2nO5Hax,Survey_Items,tbl9lguOzNO8VjMvY,fldoSFEJYhSviEMxq,Administrations_Link,multipleRecordLinks,checked,tblErTZCOOpH0S4Xd,Survey_Administrations
recB9fuyaOJhKQRuM,Survey_Items,tbl9lguOzNO8VjMvY,fldqNQIfnjhxVqV3a,Assessment_Responses,singleLineText,,,
recNtvS3fXs0FaKPg,Survey_Items,tbl9lguOzNO8VjMvY,fldqvs61eFb6nZqu8,Assessment_Results_Region_Item,singleLineText,,,
reciAKSaHFWUjtYfZ,Survey_Items,tbl9lguOzNO8VjMvY,fldFD2FUjHDVKLuLF,Assessment_Results_School_Item,singleLineText,,,
recyMUKyA9Z2diFOO,Survey_Items,tbl9lguOzNO8VjMvY,fldr6PDhJS1MLtb9r,Category_Code,multilineText,,,
recaMfa496W14kv8t,Survey_Items,tbl9lguOzNO8VjMvY,fldENCDXcD6hKjk8z,Category_Select,multipleSelects,,,
recC6gaV9wNhr5K6N,Survey_Items,tbl9lguOzNO8VjMvY,fldDg1qGWkYCi9DGP,Item_AT_ID,multilineText,,,
recs8UknbWWsfKSBS,Survey_Items,tbl9lguOzNO8VjMvY,fld3ajw0sJq6dNGtR,Item_Order,singleLineText,,,
recPHacgsE93tFJO2,Survey_Items,tbl9lguOzNO8VjMvY,fldr5WzbZ46hnJnlG,Item_Prompt,singleLineText,,,
recqljb6QeCNhbkXU,Survey_Items,tbl9lguOzNO8VjMvY,fldg7KP4ZBOVp426W,Last_Modified,dateTime,,,
recMpVGBVlw7bEHyq,Survey_Items,tbl9lguOzNO8VjMvY,fld6LFIXn4e8EAjwu,Likert_Scale,number,,,
recy7LBgREsomaw77,Survey_Items,tbl9lguOzNO8VjMvY,fldrTcmuZ2vXmIW5y,Network Blank,number,,,
