Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
Survey_Items,tbl9lguOzNO8VjMvY,fld027NhquolrgRLa,Question_Type,singleSelect,,,
Survey_Items,tbl9lguOzNO8VjMvY,fld1urW4DjXmy20pe,Top_3_Flat,multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fld3ajw0sJq6dNGtR,Item_Order,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fld6LFIXn4e8EAjwu,Likert_Scale,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldd9hxZEbFQR2306,Network N,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldDg1qGWkYCi9DGP,Item_AT_ID,multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldENCDXcD6hKjk8z,Category_Select,multipleSelects,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldFD2FUjHDVKLuLF,Assessment_Results_School_Item,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldfS7gzuxexSIMjb,Question_Label,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldg7KP4ZBOVp426W,Last_Modified,dateTime,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldHCOp9NXrZmdVl7,Survey_Region_Item_Results,multipleRecordLinks,checked,tblstb7gvzW7yMmye,Survey_Region_Item_Results
Survey_Items,tbl9lguOzNO8VjMvY,fldjxNxCenDNLINU4,Network Full Credit,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldkJ8ubrPNGUJKpR,Survey_Item_Responses_Links,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldLyhBsDGT92DFJx,Network_Top_1,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldooWw0j33hzHz87,Administration_Key (from Survey_Results_School_Item_Links),multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldoSFEJYhSviEMxq,Administrations_Link,multipleRecordLinks,checked,tblErTZCOOpH0S4Xd,Survey_Administrations
Survey_Items,tbl9lguOzNO8VjMvY,fldOYptIV4oFiKbPS,Updated_By,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldpFgNTp9l8pEeaj,Survey_Results_School_Item_Links,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldQIerdmXgW5mVWp,Top_3,multipleSelects,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldqNQIfnjhxVqV3a,Assessment_Responses,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldqvs61eFb6nZqu8,Assessment_Results_Region_Item,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldr5WzbZ46hnJnlG,Item_Prompt,singleLineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldr6PDhJS1MLtb9r,Category_Code,multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldRf8ySCdqX1MHZt,Top_2_Flat,multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldrTcmuZ2vXmIW5y,Network Blank,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldSCO2Qw6aCX66wy,Survey_Region_Item_Results copy,multipleRecordLinks,checked,tblDtbKXeIFK9FxJF,Survey_City_Item_Results
Survey_Items,tbl9lguOzNO8VjMvY,fldTt80WkqbqfbUtT,Network_Top_2,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldUIehfSKIrmN2fM,Administration_Key (from Survey_Results_School_Item_Links) copy,multilineText,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldW0c1qNH5cRyCS5,Survey_City_Item_Results copy,multipleRecordLinks,checked,tblHRzJxvjAk3735c,Survey_Network_Item_Results
Survey_Items,tbl9lguOzNO8VjMvY,fldx5z2y7r1QAm76E,Network_Item_Responses,number,,,
Survey_Items,tbl9lguOzNO8VjMvY,fldYstYiRHlBIIJ2u,Top_2,multipleSelects,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld0OgxriXCVWinMF,Region_Link,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld1ZxJ5ZVS4kutlq,School_Link,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld7LbexysRT086cc,Survey_Admin,singleSelect,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld7SMrtvbQM05aBS,Gender_Tags,multipleSelects,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld9dSclPYDL9raX5,School_Item_Comment_Key,multilineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldbenaKXQ9lRtxq4,Region (from School_Link),singleLineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldDtG0WYHRZYzoeE,Survey_Item,singleLineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldGCbd2bjj1GsMZb,Student_Comment_AT_ID,multilineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldhL5yev7UkzlL9p,Race_Tags,multipleSelects,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldnuttFK743A5Kkq,School_Link_Lookup,singleLineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldq6XzGEU9bnmq1m,Survey_Item_School_Results (from School_Link),multipleLookupValues,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldsFogMGmwMcMIjS,Comment_Len,number,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldssXZLXxOCfCqTJ,School_Item_Results_Key,formula,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldsUOXgtF3VzDJdK,Survey_Item_Link,multipleRecordLinks,checked,tbl9lguOzNO8VjMvY,Survey_Items
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldtdDMLFCpmfwrVH,Respondent_Link,singleLineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,flduIL4Dle4Ffilfz,City,multipleLookupValues,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldVoRfvl5fuWW5Qp,Survey_Administrations (from School_Link),multipleLookupValues,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldxwczLRDlHJ1UrB,Comment_Text,multilineText,,,
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldYJsh7gkpweX4dn,School_Item_Results_Link,multipleRecordLinks,checked,tblwEdi9EQhCsixNd,Survey_School_Item_Results
Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldZzosGFZolvK1vz,School_Item_Report_AT_ID,multipleLookupValues,,,
Cities,tblAb2YQJ4bggKx37,fld6wf3vM9B8npiMH,Schools,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
Cities,tblAb2YQJ4bggKx37,fldM98KoCoBC2dgzV,Assessment_Results_City_Item,multipleRecordLinks,checked,tblYFvQSCkdYt6wMS,Assessment_Results_City_Item
Cities,tblAb2YQJ4bggKx37,fldMKhCouP4FeB2Wk,Regions_Linked,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
Cities,tblAb2YQJ4bggKx37,fldPoZDzdVOyenwxk,City_Name,singleLineText,,,
Cities,tblAb2YQJ4bggKx37,fldRN3wOUZc4WPpeU,Survey_City_Item_Results,multipleRecordLinks,checked,tblDtbKXeIFK9FxJF,Survey_City_Item_Results
Cities,tblAb2YQJ4bggKx37,fldUVJsM6lhVvnKz0,Schools_Linked,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
Cities,tblAb2YQJ4bggKx37,fldwlPEHvdVtrCOXS,Survey_School_Item_Results,multipleRecordLinks,checked,tblwEdi9EQhCsixNd,Survey_School_Item_Results
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld49UMrV7P1baZfL,Region_Extract,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld5m6zWufRE0WQTl,School_Item_Result_Key_Formula,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld8iOYgrMb11Ekp9,Assessment_Bank,singleLineText,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld9Jz3X4OiT3auBc,Domain_Tags,multipleSelects,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldbuzWehyhXAfd9q,Standards_Code (from Assessment_Item_Link),multipleLookupValues,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldd2dxJHAMzysOpj,Region_Item_Result_AT_ID,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,flddlnoqTV4BNBi7E,Percent_Blanks,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,flddnAwrY4JbnAvb2,Assessment_Item_Link,multipleRecordLinks,checked,tblqIgPFR3mCHjQRo,Assessment_Items
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldf762G1PkT7rd1D,Region_Full_Credit_Constructed,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldF9F5HIlmAHm173,Region_Item_Result_Key,singleLineText,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldG7JfEt9aHlCLvg,Standards_Tags,multipleSelects,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldK40qvrdT6CFX4W,Domain (from Assessment_Item_Link),multipleLookupValues,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldL7VakLjooRFn2k,Item_Responses,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldLCViqmZVEBZ6jM,Region_Partial_Credit_All_Count,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldlevuStjQmecyVc,Region_Full_Credit_Constructed_Count,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldmOEPhz0Fqaozss,Item_Extract,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldmwZewON5KqfKrM,Blanks,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldRKXIzrZ2WEo7Tu,Region_Link,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldSpQsYxy2oIKdVZ,Item_Type (from Assessment_Item_Link),multipleLookupValues,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldUYOX3qofg0Exnz,Region_Full_Credit_All_Count,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldVEJ5tg7HRy6S7N,Region_MC_Correct_Count,rollup,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldVZpGRvoglEmlvL,Percent_Correct,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldW7AMehyG0pKAOs,Region_Partial_Percent,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldXAF2Jz3N9DDYnM,Assessment_Results_School_Item,multipleRecordLinks,checked,tblD7Kjxmno3JuhAk,Assessment_Results_School_Item
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldxFRWwZZ84nv9wE,Region_Full_Credit_Percent,formula,,,
Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldxsFJOnFn6rFeV3,Region (from Region_Link),multipleLookupValues,,,
Assessment_Import_Log,tblaMuFVHtzyyKKqB,fld0dl9iC1Ewaadbv,First_Item_Column_Letter (from Assessment_Banks),singleLineText,,,
